"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field9","Field10","Field11","Field12","Field13","Field14","Field15","Field16","Field17","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26","Field27","Field28","Field29","Field30","Field31","Field32","Field33","Field34","Field35","Field36","Field37","Field38","Field39","Field40","Field41","Field42","Field43","Field44","Field45","Field46","Field47","Field48","Field49","Field50","Field51","Field52","Field53","Field54"
"1998","林口區","4149","...","...","86","...","858","...","...","...","38","...","13","0","1598","1532","24","0","3267","...","...","0","...","755","...","...","...","45","...","13","0","1475","976","0","3","2388","2388","692","357","335","14.49","198","130","68","4.1500000000000004","10.34","136.88999999999999","118.42","18.47","357","7.48","92","1.93"
"1998","深坑區","1922","...","...","26","...","952","...","...","...","20","...","6","0","312","597","9","0","2092","...","...","1","...","1087","...","...","...","26","...","0","0","324","654","0","0","455","455","257","129","128","13.21","103","75","28","5.3","7.92","122.22","130.96","-8.74","166","8.5399999999999991","39","2.0099999999999998"
"1998","石碇區","1223","...","...","2","...","464","...","...","...","9","...","0","0","123","623","2","0","1325","...","...","0","...","556","...","...","...","6","...","3","0","109","651","0","0","77","77","79","42","37","10.55","71","46","25","9.48","1.07","173.56","187.18","-13.62","56","7.48","10","1.34"
"1998","坪林區","656","...","...","0","...","179","...","...","...","2","...","0","0","77","396","2","0","616","...","...","1","...","186","...","...","...","8","...","0","0","65","350","0","6","66","66","83","42","41","13.75","62","46","16","10.27","3.48","119.57","112.94","6.62","55","9.11","10","1.66"
"1998","三芝區","1881","...","...","25","...","583","...","...","...","16","...","0","0","270","984","3","0","1461","...","...","4","...","449","...","...","...","10","...","1","0","200","796","0","1","534","534","319","176","143","14.66","130","81","49","5.97","8.68","110.97","91.67","19.3","166","7.63","34","1.56"
"1998","石門區","1445","...","...","0","...","289","...","...","...","15","...","2","0","233","899","7","0","1271","...","...","0","...","279","...","...","...","8","...","2","0","200","782","0","0","272","272","135","75","60","13.3","78","53","25","7.69","5.62","169.17","152.03","17.14","88","8.67","17","1.67"
"1998","八里區","2496","...","...","36","...","886","...","...","...","23","...","8","0","530","1010","3","0","1954","...","...","3","...","792","...","...","...","19","...","4","0","367","769","0","0","1590","1590","427","222","205","16.5","145","93","52","5.6","10.9","157.87","136.93","20.94","235","9.08","48","1.85"
"1998","平溪區","1023","...","...","0","...","194","...","...","...","3","...","1","0","243","582","0","0","1199","...","...","0","...","227","...","...","...","0","...","3","0","312","654","0","3","153","153","75","37","38","11.88","72","47","25","11.4","0.48","186.27","214.14","-27.88","46","7.29","7","1.1100000000000001"
"1998","雙溪區","1011","...","...","7","...","118","...","...","...","17","...","3","0","330","532","4","0","1516","...","...","0","...","237","...","...","...","10","...","0","0","463","804","0","2","398","398","112","59","53","10.47","112","67","45","10.47","0","131.69999999999999","178.9","-47.2","75","7.01","10","0.93"
"1998","貢寮區","1326","...","...","2","...","177","...","...","...","9","...","0","0","465","664","9","0","1485","...","...","1","...","236","...","...","...","11","...","0","0","520","717","0","0","218","218","180","97","83","13.17","120","74","46","8.7799999999999994","4.3899999999999997","112.99","124.62","-11.64","106","7.76","23","1.68"
"1998","金山區","1443","...","...","3","...","215","...","...","...","22","...","1","0","498","700","3","1","1560","...","...","2","...","310","...","...","...","11","...","0","0","496","741","0","0","1222","1222","298","157","141","14.32","154","99","55","7.4","6.92","128.06","133.68","-5.62","157","7.54","36","1.73"
"1998","萬里區","1584","...","...","7","...","242","...","...","...","24","...","3","0","757","541","10","0","1608","...","...","6","...","244","...","...","...","12","...","4","0","760","581","0","1","225","225","236","127","109","12.64","187","121","66","10.02","2.63","96.92","98.2","-1.29","133","7.13","39","2.09"
"1998","烏來區","769","...","...","9","...","166","...","...","...","2","...","0","0","127","465","0","0","720","...","...","0","...","160","...","...","...","2","...","0","0","123","435","0","0","222","222","54","32","22","14.3","32","18","14","8.4700000000000006","5.82","262.33999999999997","249.37","12.97","28","7.41","9","2.38"
"1999","新北市","259212","...","...","5136","...","71414","...","...","...","3359","...","674","0","71029","105052","2517","31","234434","...","...","7565","...","53686","...","...","...","2778","...","869","0","64358","105049","50","79","127248","127248","41124","21336","19788","11.8","14609","9249","59806","4.1900000000000004","7.61","110.88","103.77","7.11","20988","6.02","8504","2.44"
"1999","板橋區","35966","...","...","661","...","7341","...","...","...","442","...","57","0","9703","17441","321","0","35538","...","...","729","...","5609","...","...","...","373","...","103","0","9090","19621","9","4","17519","17519","5275","2725","2550","10.1","2139","1389","750","4.0999999999999996","6.01","102.45","101.63","0.82","3963","7.59","1165","2.23"
"1999","三重區","25919","...","...","420","...","7178","...","...","...","307","...","24","0","6753","11067","168","2","27326","...","...","345","...","6377","...","...","...","221","...","49","0","6167","14154","2","11","13738","13738","4369","2314","2055","11.52","1549","990","559","4.08","7.43","104.53","108.24","-3.71","3032","7.99","873","2.2999999999999998"
"1999","中和區","31350","...","...","771","...","7554","...","...","...","413","...","191","0","6738","15090","577","16","30028","...","...","1315","...","5796","...","...","...","356","...","250","0","6320","15975","5","11","11241","11241","4235","2183","2052","10.85","1555","988","567","3.99","6.87","109.16","105.77","3.39","3185","8.16","939","2.41"
"1999","永和區","16808","...","...","859","...","5185","...","...","...","288","...","82","0","3440","6762","192","0","17711","...","...","1085","...","4558","...","...","...","246","...","124","0","3352","8332","3","11","7568","7568","1961","994","967","8.61","1031","638","393","4.53","4.08","107.06","111.03","-3.97","1596","7.01","545","2.39"
"1999","新莊區","21917","...","...","306","...","4013","...","...","...","348","...","51","0","8576","8402","221","0","19322","...","...","293","...","3161","...","...","...","277","...","60","0","7456","8064","5","6","18244","18244","4151","2128","2023","11.46","1065","676","389","2.94","8.52","110.88","103.71","7.16","2614","7.22","894","2.4700000000000002"
"1999","新店區","20183","...","...","906","...","9149","...","...","...","307","...","57","0","4375","5161","227","1","19068","...","...","2441","...","7402","...","...","...","227","...","51","0","4083","4851","7","6","11715","11715","2772","1391","1381","10.57","1308","859","449","4.99","5.58","121.6","117.35","4.25","2195","8.3699999999999992","760","2.9"
"1999","樹林區","11345","...","...","127","...","1084","...","...","...","137","...","15","0","4001","5869","112","0","8713","...","...","157","...","843","...","...","...","116","...","26","0","3095","4475","0","1","5819","5819","2106","1055","1051","14.12","549","348","201","3.68","10.44","115.07","97.42","17.64","1176","7.88","371","2.4900000000000002"
"1999","鶯歌區","5325","...","...","56","...","506","...","...","...","53","...","12","0","2841","1825","31","1","4454","...","...","38","...","350","...","...","...","67","...","23","0","2904","1071","1","0","2822","2822","1101","607","494","14.16","335","217","118","4.3099999999999996","9.85","104.77","93.57","11.2","670","8.6199999999999992","199","2.56"
"1999","三峽區","5422","...","...","51","...","723","...","...","...","87","...","6","0","1811","2711","32","1","4051","...","...","44","...","476","...","...","...","82","...","7","0","1462","1975","4","1","3420","3420","1261","673","588","15.79","466","311","155","5.84","9.9600000000000009","110.73","93.56","17.170000000000002","761","9.5299999999999994","189","2.37"
"1999","淡水區","8989","...","...","191","...","4684","...","...","...","115","...","15","0","1852","2076","56","0","6479","...","...","230","...","2913","...","...","...","75","...","18","0","1377","1859","6","1","4845","4845","1381","718","663","12.53","476","280","196","4.32","8.2100000000000009","125.56","102.78","22.78","1006","9.1300000000000008","263","2.39"
"1999","汐止區","17781","...","...","229","...","10967","...","...","...","212","...","20","0","3996","2269","88","0","11800","...","...","337","...","6570","...","...","...","138","...","14","0","3105","1631","5","0","5941","5941","2163","1112","1051","14.3","675","408","267","4.46","9.84","156.85","117.3","39.549999999999997","1493","9.8699999999999992","438","2.9"
"1999","瑞芳區","2088","...","...","16","...","270","...","...","...","23","...","7","0","1251","504","17","0","3523","...","...","28","...","416","...","...","...","25","...","0","0","2200","854","0","0","1032","1032","605","301","304","12.49","368","232","136","7.6","4.8899999999999997","64.430000000000007","94.06","-29.63","453","9.35","93","1.92"
"1999","土城區","16746","...","...","167","...","2547","...","...","...","196","...","86","0","4781","8702","265","2","13881","...","...","236","...","1978","...","...","...","154","...","96","0","4316","7093","1","7","8118","8118","2964","1572","1392","13.33","725","444","281","3.26","10.07","111.83","98.94","12.89","1850","8.32","627","2.82"
"1999","蘆洲區","12735","...","...","105","...","3641","...","...","...","148","...","13","0","3254","5520","51","3","9651","...","...","115","...","2279","...","...","...","161","...","16","0","2622","4457","0","1","8187","8187","2058","1081","977","13.01","469","271","198","2.96","10.050000000000001","132.27000000000001","112.77","19.5","1174","7.42","385","2.4300000000000002"
"1999","五股區","5961","...","...","49","...","1166","...","...","...","41","...","8","0","1544","3110","40","3","4625","...","...","18","...","805","...","...","...","44","...","13","0","1207","2538","0","0","1533","1533","962","498","464","14.37","261","167","94","3.9","10.47","111.92","91.97","19.95","526","7.86","159","2.37"
"1999","泰山區","3824","...","...","53","...","528","...","...","...","60","...","11","0","1298","1839","35","0","3865","...","...","45","...","491","...","...","...","50","...","5","0","1185","2089","0","0","1345","1345","718","375","343","11.64","210","133","77","3.4","8.24","83.8","84.47","-0.66","438","7.1","146","2.37"
"1999","林口區","4502","...","...","67","...","1118","...","...","...","62","...","14","0","1801","1407","33","0","3314","...","...","58","...","601","...","...","...","56","...","5","0","1679","912","2","1","2024","2024","695","364","331","14.1","207","130","77","4.2","9.9","132.43","108.32","24.11","381","7.73","129","2.62"
"1999","深坑區","1814","...","...","19","...","964","...","...","...","31","...","2","0","301","493","3","1","1583","...","...","10","...","900","...","...","...","19","...","1","0","260","393","0","0","291","291","249","137","112","12.69","104","58","46","5.3","7.39","107.24","95.48","11.77","199","10.14","47","2.39"
"1999","石碇區","458","...","...","1","...","155","...","...","...","7","...","0","0","57","236","2","0","669","...","...","12","...","203","...","...","...","1","...","0","0","90","363","0","0","25","25","101","51","50","13.73","67","43","24","9.11","4.62","65.67","94.36","-28.69","94","12.78","8","1.0900000000000001"
"1999","坪林區","256","...","...","0","...","65","...","...","...","0","...","0","0","46","144","1","0","372","...","...","0","...","91","...","...","...","4","...","0","0","45","216","0","16","9","9","88","48","40","14.59","45","25","20","7.46","7.13","43.93","63.16","-19.23","55","9.1199999999999992","6","0.99"
"1999","三芝區","1537","...","...","23","...","515","...","...","...","22","...","1","0","213","755","8","0","1404","...","...","13","...","351","...","...","...","19","...","1","0","168","852","0","0","286","286","328","168","160","14.76","145","91","54","6.52","8.23","82.02","76.040000000000006","5.98","189","8.5","39","1.75"
"1999","石門區","1084","...","...","1","...","190","...","...","...","7","...","0","0","183","701","2","0","555","...","...","1","...","95","...","...","...","7","...","0","0","146","306","0","0","102","102","150","84","66","14.2","84","59","25","7.95","6.25","112.28","62.2","50.08","108","10.220000000000001","17","1.61"
"1999","八里區","2742","...","...","28","...","1141","...","...","...","13","...","1","0","523","1034","2","0","1744","...","...","5","...","705","...","...","...","23","...","0","0","301","710","0","0","598","598","416","211","205","15.44","132","84","48","4.9000000000000004","10.54","124","86.95","37.049999999999997","278","10.32","68","2.52"
"1999","平溪區","303","...","...","2","...","72","...","...","...","0","...","0","0","68","160","1","0","576","...","...","1","...","92","...","...","...","2","...","0","0","162","319","0","0","39","39","71","35","36","11.65","64","41","23","10.5","1.1499999999999999","56.12","100.92","-44.8","51","8.3699999999999992","4","0.66"
"1999","雙溪區","449","...","...","3","...","66","...","...","...","8","...","0","0","158","212","2","0","724","...","...","1","...","112","...","...","...","9","...","0","0","225","376","0","1","117","117","122","72","50","11.83","112","57","55","10.86","0.97","54.88","81.540000000000006","-26.66","87","8.44","20","1.94"
"1999","貢寮區","796","...","...","2","...","118","...","...","...","6","...","0","0","326","334","10","0","829","...","...","2","...","128","...","...","...","3","...","5","0","286","404","0","1","121","121","213","110","103","15.59","92","59","33","6.73","8.86","67.13","69.55","-2.42","155","11.35","22","1.61"
"1999","金山區","1155","...","...","11","...","228","...","...","...","9","...","1","0","325","571","10","0","1002","...","...","2","...","177","...","...","...","10","...","1","0","312","500","0","0","382","382","323","180","143","15.39","145","96","49","6.91","8.48","73.23","65.94","7.29","184","8.77","44","2.1"
"1999","萬里區","1420","...","...","7","...","187","...","...","...","14","...","0","0","724","477","10","1","1362","...","...","1","...","166","...","...","...","12","...","1","0","672","510","0","0","102","102","229","115","114","12.23","195","132","63","10.41","1.82","81.290000000000006","78.19","3.1","145","7.74","46","2.46"
"1999","烏來區","337","...","...","5","...","59","...","...","...","3","...","0","0","90","180","0","0","265","...","...","3","...","41","...","...","...","1","...","0","0","71","149","0","0","65","65","57","34","23","14.77","36","23","13","9.33","5.44","104.16","85.5","18.66","41","10.62","8","2.0699999999999998"
"2000","新北市","251936","...","...","5020","...","67027","...","...","...","3453","...","623","1","71061","100996","3739","16","224816","...","...","9720","...","49316","...","...","...","2801","...","1317","0","60129","101060","46","427","122271","122271","44924","23362","21562","12.69","15065","9515","67010","4.26","8.44","105.73","98.06","7.66","22646","6.4","9515","2.69"
"2000","板橋區","34269","...","...","565","...","6607","...","...","...","415","...","60","0","10003","16128","491","0","32962","...","...","799","...","5253","...","...","...","370","...","139","0","8361","18034","6","0","15955","15955","5995","3130","2865","11.39","2093","1351","742","3.98","7.41","95.4","92.92","2.48","4131","7.85","1355","2.57"
"2000","三重區","25235","...","...","380","...","6967","...","...","...","323","...","33","0","7017","10278","236","1","26086","...","...","666","...","5958","...","...","...","258","...","82","0","5647","13323","2","150","12347","12347","4654","2398","2256","12.21","1621","997","624","4.25","7.96","98.6","100.83","-2.23","3220","8.4499999999999993","1006","2.64"
"2000","中和區","32112","...","...","864","...","7219","...","...","...","444","...","156","1","6879","15851","697","1","29123","...","...","1996","...","5026","...","...","...","321","...","403","0","5781","15550","7","39","10977","10977","4575","2412","2163","11.58","1617","1045","572","4.09","7.49","109.04","101.48","7.56","3513","8.89","1082","2.74"
"2000","永和區","16411","...","...","781","...","4794","...","...","...","278","...","72","0","3350","6846","286","4","17176","...","...","1016","...","3991","...","...","...","230","...","182","0","3053","8521","3","180","7318","7318","2074","1076","998","9.1","910","529","381","3.99","5.1100000000000003","104.12","107.48","-3.36","1710","7.5","608","2.67"
"2000","新莊區","21657","...","...","299","...","3956","...","...","...","438","...","50","0","8392","8170","352","0","18046","...","...","453","...","3215","...","...","...","355","...","80","0","6863","7069","0","11","18107","18107","4633","2460","2173","12.57","1117","709","408","3.03","9.5399999999999991","107.88","98.08","9.8000000000000007","2780","7.54","944","2.56"
"2000","新店區","21536","...","...","829","...","9493","...","...","...","330","...","60","0","4569","5858","395","2","18463","...","...","2899","...","6781","...","...","...","258","...","133","0","3560","4811","13","8","11685","11685","2984","1541","1443","11.22","1370","880","490","5.15","6.07","124.92","113.36","11.55","2337","8.7899999999999991","755","2.84"
"2000","樹林區","10047","...","...","150","...","1016","...","...","...","89","...","12","0","3777","4829","174","0","8765","...","...","196","...","855","...","...","...","117","...","27","0","3096","4473","0","1","6166","6166","2229","1178","1051","14.6","613","361","252","4.01","10.58","106.17","97.77","8.4","1266","8.2899999999999991","403","2.64"
"2000","鶯歌區","4946","...","...","39","...","435","...","...","...","59","...","9","0","2644","1702","58","0","3962","...","...","37","...","310","...","...","...","47","...","34","0","2557","977","0","0","2793","2793","1212","625","587","15.25","380","248","132","4.78","10.47","97.36","84.98","12.38","651","8.19","199","2.5"
"2000","三峽區","5172","...","...","55","...","622","...","...","...","72","...","9","0","1976","2380","58","0","4162","...","...","87","...","499","...","...","...","49","...","13","0","1570","1942","2","0","3369","3369","1404","763","641","17.14","470","309","161","5.74","11.4","104.28","91.94","12.33","736","8.99","235","2.87"
"2000","淡水區","9442","...","...","226","...","4971","...","...","...","122","...","22","0","1868","2128","105","0","6356","...","...","372","...","2806","...","...","...","100","...","22","0","1303","1751","0","2","4640","4640","1624","850","774","14.25","485","305","180","4.25","9.99","123.53","96.46","27.07","1076","9.44","277","2.4300000000000002"
"2000","汐止區","16384","...","...","267","...","9599","...","...","...","235","...","16","0","3881","2229","156","1","11294","...","...","407","...","5934","...","...","...","131","...","37","0","3153","1624","6","2","5447","5447","2160","1119","1041","13.65","676","395","281","4.2699999999999996","9.3800000000000008","137.94","105.78","32.159999999999997","1666","10.53","466","2.94"
"2000","瑞芳區","2394","...","...","10","...","279","...","...","...","14","...","2","0","1497","568","24","0","3346","...","...","24","...","333","...","...","...","20","...","5","0","2125","839","0","0","1119","1119","640","318","322","13.49","435","265","170","9.17","4.32","74.03","94.1","-20.059999999999999","482","10.16","126","2.66"
"2000","土城區","16079","...","...","186","...","2443","...","...","...","209","...","95","0","4688","8060","398","0","13295","...","...","347","...","1711","...","...","...","155","...","108","0","3841","7129","4","0","7941","7941","3280","1691","1589","14.41","753","487","266","3.31","11.11","105.56","93.32","12.23","1902","8.36","738","3.24"
"2000","蘆洲區","12471","...","...","92","...","3298","...","...","...","123","...","11","0","3260","5601","80","6","9097","...","...","121","...","2127","...","...","...","109","...","18","0","2449","4269","1","3","7218","7218","2245","1153","1092","13.77","540","333","207","3.31","10.46","120.75","100.06","20.69","1323","8.11","429","2.63"
"2000","五股區","5535","...","...","49","...","996","...","...","...","60","...","4","0","1532","2849","45","0","4498","...","...","39","...","745","...","...","...","67","...","16","0","1052","2579","0","0","1676","1676","1049","511","538","15.23","279","188","91","4.05","11.18","104.69","89.63","15.06","652","9.4700000000000006","202","2.93"
"2000","泰山區","3663","...","...","51","...","465","...","...","...","43","...","2","0","1326","1733","43","0","3848","...","...","72","...","476","...","...","...","41","...","4","0","1149","2104","1","1","1531","1531","808","401","407","13.01","231","161","70","3.72","9.2899999999999991","83.63","86.61","-2.98","453","7.29","169","2.72"
"2000","林口區","3818","...","...","68","...","840","...","...","...","80","...","3","0","1618","1172","36","1","3279","...","...","93","...","550","...","...","...","38","...","4","0","1648","946","0","0","1759","1759","770","391","379","15.2","213","139","74","4.2","10.99","110.07","99.44","10.64","432","8.5299999999999994","132","2.61"
"2000","深坑區","1695","...","...","23","...","866","...","...","...","21","...","1","0","293","474","17","0","1614","...","...","22","...","793","...","...","...","29","...","1","0","286","483","0","0","319","319","268","135","133","13.44","86","56","30","4.3099999999999996","9.1199999999999992","100.97","96.9","4.0599999999999996","191","9.58","53","2.66"
"2000","石碇區","535","...","...","5","...","166","...","...","...","5","...","0","0","73","285","1","0","511","...","...","8","...","154","...","...","...","4","...","1","0","65","279","0","0","32","32","113","57","56","15.5","84","61","23","11.52","3.98","77.75","74.459999999999994","3.29","85","11.66","13","1.78"
"2000","坪林區","299","...","...","3","...","74","...","...","...","7","...","0","0","47","166","2","0","407","...","...","3","...","76","...","...","...","9","...","0","0","63","229","0","27","29","29","84","45","39","14.1","56","42","14","9.4","4.7","55.07","73.2","-18.13","56","9.4","9","1.51"
"2000","三芝區","1350","...","...","19","...","375","...","...","...","20","...","1","0","217","707","11","0","1291","...","...","13","...","325","...","...","...","17","...","0","0","208","728","0","0","317","317","350","177","173","15.55","149","87","62","6.62","8.93","74.040000000000006","71.42","2.62","197","8.75","54","2.4"
"2000","石門區","618","...","...","0","...","111","...","...","...","3","...","0","0","91","404","9","0","737","...","...","1","...","109","...","...","...","8","...","0","0","129","490","0","0","52","52","195","94","101","17.96","77","41","36","7.09","10.87","61.7","72.66","-10.96","116","10.68","24","2.21"
"2000","八里區","2322","...","...","29","...","892","...","...","...","18","...","2","0","510","866","5","0","1734","...","...","4","...","604","...","...","...","29","...","3","0","349","745","0","0","681","681","499","267","232","17.79","144","96","48","5.13","12.66","107.07","86.1","20.96","284","10.130000000000001","72","2.57"
"2000","平溪區","263","...","...","1","...","47","...","...","...","3","...","0","0","84","122","6","0","438","...","...","3","...","63","...","...","...","1","...","0","0","112","259","0","0","60","60","76","39","37","12.93","69","44","25","11.74","1.19","54.96","84.74","-29.78","77","13.1","7","1.19"
"2000","雙溪區","455","...","...","1","...","58","...","...","...","10","...","0","0","139","244","3","0","672","...","...","8","...","83","...","...","...","6","...","0","0","209","366","0","0","87","87","129","73","56","12.8","117","72","45","11.61","1.19","53.78","75.31","-21.53","96","9.5299999999999994","19","1.89"
"2000","貢寮區","711","...","...","4","...","73","...","...","...","4","...","1","0","300","317","12","0","974","...","...","2","...","129","...","...","...","10","...","2","0","356","473","0","2","90","90","238","114","124","17.47","129","80","49","9.4700000000000006","8","58.78","78.08","-19.3","129","9.4700000000000006","24","1.76"
"2000","金山區","999","...","...","4","...","168","...","...","...","13","...","1","0","358","446","9","0","1053","...","...","9","...","212","...","...","...","7","...","2","0","350","473","0","0","379","379","328","175","153","15.45","136","89","47","6.41","9.0500000000000007","64.930000000000007","67.47","-2.54","215","10.130000000000001","45","2.12"
"2000","萬里區","1153","...","...","9","...","155","...","...","...","15","...","1","0","566","378","29","0","1406","...","...","17","...","176","...","...","...","14","...","1","0","729","468","1","0","128","128","246","132","114","13.17","189","130","59","10.119999999999999","3.05","68.61","82.16","-13.55","192","10.28","57","3.05"
"2000","烏來區","365","...","...","11","...","42","...","...","...","0","...","0","0","106","205","1","0","221","...","...","6","...","22","...","...","...","1","...","0","0","65","126","0","1","49","49","62","37","25","15.52","26","15","11","6.51","9.01","103.6","67.569999999999993","36.04","50","12.51","12","3"
"2001","新北市","266683","...","...","4676","...","63902","...","...","...","3098","...","697","2","63206","97597","3139","30366","248362","...","...","8828","...","45432","...","...","...","2349","...","2292","0","61423","97584","58","30396","114678","114678","39104","20400","18704","10.9","15069","9523","5546","4.2","6.7","106.26","101.15","5.0999999999999996","28303","7.89","10043","2.8"
"2001","板橋區","32098","...","...","575","...","6851","...","...","...","409","...","71","0","8407","15468","315","2","31657","...","...","965","...","4796","...","...","...","303","...","282","0","8332","16973","4","2","15020","15020","5338","2796","2542","10.06","2144","1388","756","4.04","6.02","88.76","87.92","0.83","4020","7.57","1418","2.67"
"2001","三重區","24737","...","...","313","...","6934","...","...","...","286","...","26","0","5961","10954","262","1","25296","...","...","535","...","5447","...","...","...","270","...","108","0","6059","12857","5","15","11299","11299","4041","2146","1895","10.55","1697","1049","648","4.43","6.12","94.05","95.51","-1.46","3025","7.89","1076","2.81"
"2001","中和區","29915","...","...","734","...","7069","...","...","...","391","...","201","0","6179","14626","714","1","28782","...","...","1796","...","4838","...","...","...","276","...","613","0","5956","15286","13","4","9845","9845","3971","2040","1931","9.93","1608","1024","584","4.0199999999999996","5.91","99.43","96.6","2.83","3281","8.2100000000000009","1131","2.83"
